rcid,year,n_postings
7387,2022,22
7387,2023,11
7387,2024,6
7436,2024,1
7462,2024,4
7493,2024,1
7793,2024,1
7799,2022,4
7877,2024,5
7917,2024,4
7917,2025,7
7957,2023,2
8243,2022,2
8243,2025,2
8306,2025,1
8354,2021,5
8354,2022,8
8354,2023,12
8354,2024,15
8354,2025,8
8590,2023,1
8645,2023,3
8706,2021,2
8706,2022,2
8706,2023,12
9080,2020,11
9080,2021,62
9080,2022,95
9080,2023,132
9080,2024,430
9080,2025,444
9080,2026,75
9112,2025,1
9112,2026,1
9126,2023,1
9334,2021,2
9334,2022,1
9334,2025,1
9849,2023,1
10230,2021,2
10230,2022,6
10230,2023,25
10230,2024,33
10230,2025,68
10230,2026,5
10519,2023,9
10519,2024,9
10519,2025,7
10519,2026,2
10533,2020,3
10533,2021,28
10533,2022,36
10533,2023,25
10533,2024,44
10533,2025,93
10533,2026,13
10736,2023,1
10920,2023,7
11249,2022,1
11249,2025,1
11249,2026,2
11427,2021,1
11427,2022,1
11427,2024,1
11627,2023,1
11627,2024,3
12080,2023,2
12180,2021,3
12180,2023,1
12583,2025,1
12700,2024,3
13058,2021,5
13058,2022,7
13058,2023,4
13058,2024,1
13058,2025,1
13129,2023,6
13129,2024,3
13129,2025,3
13305,2023,1
13413,2023,1
13526,2025,1
13918,2022,1
13918,2023,8
13918,2024,9
13918,2025,7
13918,2026,1
13952,2022,8
13952,2023,1
13952,2025,3
13998,2024,1
14094,2025,4
14201,2022,1
14323,2023,1
14343,2021,2
14343,2023,1
14437,2021,3
14437,2022,3
14600,2023,6
14602,2021,1
14602,2022,2
14602,2023,1
14602,2024,5
14602,2026,1
14737,2026,1
15468,2021,1
15468,2025,2
15844,2018,1
15844,2021,112
15844,2022,184
15844,2023,230
15844,2024,133
15844,2025,211
15844,2026,7
15851,2025,1
15901,2021,1
15934,2024,13
15934,2025,84
16090,2021,9
16090,2022,6
16288,2025,2
16381,2025,1
16683,2024,9
16683,2025,1
16749,2024,1
16825,2022,2
17160,2022,1
17160,2023,3
17160,2024,12
17160,2025,11
17217,2024,1
17392,2022,1
17412,2024,1
17651,2025,2
17813,2021,2
17813,2022,14
17813,2024,1
17861,2021,1
18109,2023,1
18142,2022,1
18142,2023,10
18142,2026,1
18266,2022,1
18266,2025,2
18595,2022,1
18922,2022,5
18922,2023,4
18922,2025,7
18922,2026,2
18957,2024,1
19394,2021,1
19442,2024,1
19442,2025,2
19514,2021,1
19514,2025,1
19723,2025,2
19723,2026,1
19863,2024,1
19863,2025,3
20244,2025,4
20244,2026,1
20422,2020,4
20422,2021,31
20422,2022,52
20422,2023,25
20422,2024,24
20422,2025,27
20422,2026,9
20453,2024,1
20453,2025,2
20453,2026,1
20625,2022,10
20625,2023,2
20699,2024,2
20991,2021,1
20991,2023,5
20991,2024,1
20991,2025,1
21128,2022,1
21169,2022,1
21416,2024,1
21416,2025,6
21845,2022,1
22568,2023,1
22618,2021,2
22618,2022,9
22618,2023,14
22618,2024,11
22618,2025,11
22679,2020,3
22679,2021,8
22679,2022,19
22679,2023,14
22679,2024,16
22679,2025,10
22747,2023,1
22749,2023,2
22919,2026,2
23012,2021,1
23012,2023,2
23012,2024,4
23094,2024,3
23094,2025,9
23094,2026,1
23158,2025,1
23257,2023,1
23373,2025,79
24031,2022,1
24031,2024,1
24080,2023,1
24080,2025,1
24140,2025,3
24383,2022,1
24383,2023,21
24383,2024,39
24383,2025,55
24383,2026,8
24565,2022,1
24624,2022,1
24758,2025,1
25348,2023,1
25473,2024,1
25514,2022,1
25674,2020,15
25674,2021,141
25674,2022,261
25674,2023,674
25674,2024,873
25674,2025,1125
25674,2026,301
25689,2024,3
25689,2025,3
26057,2020,2
26057,2021,13
26057,2022,7
26057,2023,15
26057,2024,14
26057,2025,24
26057,2026,8
26064,2025,1
26064,2026,26
26091,2023,1
26177,2021,1
26177,2026,1
26187,2020,1
26187,2021,3
26187,2022,10
26187,2023,9
26187,2024,8
26187,2025,6
26187,2026,2
26396,2023,1
26402,2021,1
26717,2024,12
26717,2025,2
26788,2022,11
26788,2023,9
26788,2024,10
27073,2025,1
27183,2021,1
27271,2022,1
27271,2025,143
27308,2024,1
27372,2020,8
27372,2021,60
27372,2022,111
27372,2023,50
27372,2024,92
27372,2025,132
27372,2026,15
27429,2024,1
27429,2025,6
27429,2026,8
27599,2020,7
27599,2021,31
27599,2022,78
27599,2023,72
27599,2024,63
27599,2025,82
27599,2026,9
27760,2021,4
27760,2022,5
27760,2023,1
27760,2024,1
27877,2022,14
27877,2023,4
27877,2024,2
27877,2025,30
27877,2026,8
28064,2024,3
28064,2025,25
28104,2022,5
28104,2023,7
28104,2024,14
28104,2025,9
28104,2026,2
28144,2025,102
28270,2021,13
28270,2022,9
28270,2023,2
28270,2024,4
28270,2025,2
28270,2026,1
28315,2024,59
28315,2025,46
28509,2025,2
28600,2025,1
28709,2022,1
28786,2021,73
28786,2022,223
28786,2023,84
28786,2024,39
28786,2025,51
28786,2026,4
28939,2023,3
28939,2024,7
28939,2025,7
29462,2022,1
29479,2021,1
29479,2024,1
29479,2025,2
29479,2026,1
29543,2021,2
29543,2023,2
29543,2024,19
29543,2025,2
29550,2022,2
29794,2021,1
29897,2022,1
30095,2021,2
30095,2022,1
30174,2021,2
30588,2023,1
30900,2022,2
30954,2021,2
30954,2023,2
30954,2024,9
30954,2025,1
31464,2021,1
31584,2022,15
31635,2023,10
31635,2024,1
32073,2021,1
32073,2023,6
32073,2024,6
32073,2025,5
32099,2020,2
32099,2021,1
32104,2023,2
32113,2025,1
32140,2025,2
32157,2024,1
32157,2025,2
32298,2023,3
32684,2023,1
32853,2020,3
32853,2021,25
32853,2022,49
32853,2023,34
32853,2024,62
32853,2025,28
32853,2026,1
32905,2022,3
32923,2021,9
32980,2022,2
32980,2024,1
33128,2023,1
33133,2025,1
33182,2025,22
33182,2026,8
33322,2020,1
33486,2022,1
33486,2023,3
33486,2024,7
33598,2024,1
33645,2021,6
33645,2022,47
33645,2023,27
33645,2024,80
33645,2025,79
33645,2026,23
33795,2025,2
34065,2020,4
34065,2021,2
34065,2022,7
34065,2023,5
34065,2024,5
34065,2025,14
34128,2025,28
34128,2026,8
34378,2025,2
34380,2019,4
34380,2020,2
34380,2021,6
34380,2022,20
34380,2023,12
34380,2024,17
34380,2025,3
34380,2026,1
34383,2025,1
34526,2023,4
34526,2025,1
34563,2021,2
34712,2021,1
34712,2022,2
34712,2023,3
34712,2024,4
34774,2025,1
35016,2020,4
35016,2021,5
35016,2022,2
35016,2024,1
35016,2025,5
35016,2026,1
35247,2025,2
35586,2021,1
35586,2022,2
35586,2023,6
35586,2024,5
35586,2025,2
35586,2026,1
35862,2023,4
35862,2024,14
35862,2025,6
35882,2023,3
35882,2024,2
36001,2024,6
36240,2021,2
36240,2022,6
36240,2023,23
36240,2024,95
36240,2025,132
36240,2026,10
36403,2023,1
36403,2025,3
36408,2024,1
36535,2025,1
36765,2021,3
36765,2023,1
36765,2024,6
36956,2022,1
36956,2024,3
36956,2025,3
37191,2021,4
37191,2022,6
37191,2023,3
37191,2024,23
37191,2025,17
37191,2026,6
37565,2021,1
37622,2021,2
37622,2022,3
37622,2023,12
37622,2024,14
37622,2025,37
37622,2026,1
37662,2022,1
37662,2024,1
37662,2025,2
37888,2025,5
38124,2024,4
38189,2026,1
38355,2021,1
38418,2022,3
38418,2023,5
38418,2024,3
38418,2025,1
38467,2024,1
38583,2022,2
38709,2026,3
38940,2024,1
39202,2022,2
39701,2025,8
39743,2025,1
39916,2023,2
39932,2021,56
39932,2022,61
39932,2023,72
39932,2024,17
39932,2025,47
39932,2026,4
39939,2020,6
39939,2021,23
39939,2022,21
39939,2023,48
39939,2024,73
39939,2025,38
39939,2026,5
39963,2025,1
39972,2022,1
39972,2023,5
39972,2024,7
39972,2025,4
40046,2025,2
40137,2022,1
40137,2023,2
40137,2024,5
40198,2024,1
40198,2025,2
40198,2026,1
40204,2024,1
40370,2022,2
40470,2021,1
40582,2021,12
40582,2022,15
40582,2023,26
40582,2024,5
40582,2025,6
40890,2022,1
40890,2023,4
40890,2024,11
40890,2025,1
41155,2025,1
41230,2022,1
41415,2025,8
41415,2026,2
41419,2024,1
41419,2025,28
41419,2026,1
41692,2022,2
41692,2023,2
41692,2024,1
41692,2025,5
41727,2025,1
41837,2022,1
41872,2023,1
41875,2025,2
41949,2023,1
41949,2024,3
41949,2025,8
42048,2022,2
42172,2025,1
42182,2021,1
42322,2022,8
42396,2023,1
42489,2022,3
42489,2023,9
42517,2021,13
42517,2022,7
42517,2023,4
42517,2024,4
42517,2025,6
42517,2026,3
42583,2024,1
42645,2023,1
43090,2026,1
43870,2022,4
43904,2023,4
44137,2024,1
44920,2025,4
44920,2026,1
45004,2025,5
45309,2021,14
45309,2022,10
45309,2023,21
45309,2024,9
45309,2025,4
45434,2021,8
45434,2022,26
45434,2023,69
45434,2024,79
45434,2025,62
45434,2026,7
45577,2022,1
45577,2024,1
45577,2025,26
45579,2025,1
45708,2021,1
45715,2022,1
45922,2023,2
46034,2025,1
46338,2021,1
46338,2022,4
46421,2022,3
46460,2023,1
46473,2025,1
46721,2023,3
47061,2023,1
47118,2025,2
47308,2023,1
47308,2024,6
47308,2025,1
47490,2020,5
47490,2021,2
47490,2022,1
47490,2023,8
47516,2022,1
47516,2023,1
47516,2024,1
47793,2022,6
47793,2023,9
47793,2024,21
47793,2025,71
47793,2026,11
47872,2024,1
48027,2023,1
48027,2026,2
49474,2025,2
49641,2023,1
49799,2022,1
49827,2024,1
49950,2023,1
49950,2024,7
49997,2024,2
50275,2021,15
50275,2022,5
50470,2020,1
50536,2023,2
50536,2024,2
50536,2025,2
50603,2025,1
50603,2026,1
50768,2025,2
50859,2019,1
50859,2026,2
51079,2022,1
51079,2023,1
51172,2025,6
51220,2024,2
51256,2024,2
51256,2025,5
51276,2020,1
51276,2021,4
51276,2022,23
51276,2023,5
51276,2024,10
51276,2025,9
51304,2025,3
51306,2021,15
51306,2022,36
51306,2023,51
51306,2024,485
51306,2025,1420
51306,2026,265
51543,2024,1
51704,2020,3
51704,2021,23
51704,2022,66
51704,2023,77
51704,2024,84
51704,2025,82
51704,2026,6
51802,2021,1
51802,2023,1
51802,2024,2
51987,2023,10
51987,2024,1
51987,2025,3
51991,2021,2
52299,2022,3
52299,2024,19
52299,2025,9
52299,2026,5
52477,2023,1
52477,2025,1
52607,2021,1
52639,2021,1
52639,2024,32
52951,2024,1
52951,2025,2
53038,2024,1
53166,2025,13
53166,2026,4
53210,2025,1
53277,2021,1
53598,2022,1
53638,2024,10
53730,2024,1
53775,2020,9
53775,2021,66
53775,2022,258
53775,2023,67
53775,2024,22
53775,2025,50
53775,2026,7
54900,2023,1
55094,2025,2
55461,2024,1
55523,2021,3
55523,2025,2
55524,2024,4
55573,2022,1
55627,2024,3
55627,2025,14
55980,2022,1
55987,2023,17
55987,2024,35
55987,2025,36
55987,2026,9
56015,2025,1
56394,2026,1
56610,2021,2
56610,2023,1
56610,2024,1
56698,2021,6
56698,2022,26
56698,2023,27
56698,2024,32
56698,2025,29
56698,2026,2
56704,2021,3
56704,2022,6
56704,2023,32
56704,2024,3
56704,2025,7
56704,2026,2
56825,2025,4
56829,2022,2
56829,2023,1
56829,2024,2
56941,2022,1
56941,2023,1
56971,2021,13
56971,2022,84
56971,2023,81
56971,2024,52
56971,2025,69
56971,2026,16
57024,2022,1
57075,2019,1
57075,2023,2
57075,2024,1
57092,2024,3
57092,2025,1
57092,2026,2
57206,2018,1
57206,2020,3
57206,2022,3597
57338,2024,1
57386,2023,1
58035,2024,1
58364,2023,1
58364,2024,1
58618,2025,1
58773,2023,2
58866,2021,9
58866,2022,6
58866,2023,14
58866,2024,12
58866,2025,14
58866,2026,2
59638,2025,1
59642,2025,1
59834,2025,1
59924,2020,5
59924,2021,17
59924,2022,50
59924,2023,51
59924,2024,41
59924,2025,34
59924,2026,9
60325,2021,3
60325,2022,3
60692,2021,1
60692,2022,36
60692,2023,52
60692,2024,22
60692,2025,20
60692,2026,2
60848,2020,3
60848,2021,17
60848,2022,10
60848,2023,11
60848,2024,33
60848,2025,14
60914,2021,6
61016,2021,13
61016,2022,14
61016,2023,10
61016,2024,19
61016,2025,15
61016,2026,1
61291,2025,23
61417,2025,1
61529,2021,1
61542,2021,2
61542,2022,1
61542,2025,15
61643,2020,6
61643,2021,31
61643,2022,80
61643,2023,237
61643,2024,325
61643,2025,386
61643,2026,63
62016,2025,1
62098,2021,14
62098,2022,24
62098,2023,26
62098,2024,17
62098,2025,11
62098,2026,1
62368,2022,1
62368,2023,4
62368,2024,10
62368,2025,3
62368,2026,1
62437,2025,1
62507,2021,27
62507,2022,53
62507,2023,135
62507,2024,181
62507,2025,142
62507,2026,26
62550,2024,1
62646,2025,1
63017,2025,2
63113,2022,2
63113,2023,7
63113,2024,2
63113,2025,1
63163,2025,4
63425,2025,2
63504,2020,3
63504,2021,1
63504,2022,3
63504,2023,66
63504,2024,17
63504,2025,2
63669,2025,2
64012,2020,5
64012,2021,23
64012,2022,69
64012,2023,20
64012,2024,26
64012,2025,32
64012,2026,2
64049,2026,3
64630,2021,2
64630,2022,11
64630,2023,7
64630,2024,7
64630,2025,8
64630,2026,1
64692,2024,2
65004,2022,2
65004,2025,25
65004,2026,3
65064,2022,7
65064,2023,27
65064,2024,31
65064,2025,23
65064,2026,2
65109,2025,1
65109,2026,2
65123,2024,1
65302,2025,16
65330,2023,5
65330,2024,3
65330,2026,1
65492,2021,1
65492,2022,1
65492,2023,2
65492,2024,23
65492,2025,61
65492,2026,8
65841,2025,1
65841,2026,1
65942,2021,19
65942,2025,2
65970,2024,3
65970,2025,1
65970,2026,1
66082,2022,1
66140,2023,2
66343,2025,1
66574,2022,3
66574,2023,9
66574,2024,2
66709,2021,1
66709,2023,18
66709,2024,5
66709,2025,3
66888,2023,4
66888,2024,36
66888,2025,20
66888,2026,5
66911,2022,1
66911,2023,1
66911,2024,3
66911,2025,4
66911,2026,3
67114,2024,1
67372,2025,1
67527,2022,2
67527,2023,11
67527,2025,3
67675,2024,16
67675,2025,10
67675,2026,2
67775,2024,14
67775,2025,4
67907,2022,1
67950,2024,1
67950,2025,6
68001,2021,5
68001,2022,18
68001,2023,30
68001,2024,14
68001,2025,8
68024,2021,1
68024,2023,3
68024,2025,2
68153,2023,2
68153,2024,1
68570,2022,1
68570,2023,9
68570,2024,8
68570,2025,12
68570,2026,5
68621,2024,1
68621,2025,1
68621,2026,1
68833,2025,10
68833,2026,6
69057,2025,5
69074,2021,3
69074,2023,8
69074,2025,1
69331,2025,3
69402,2025,1
69408,2023,1
69408,2024,1
69489,2021,1
69489,2022,2
69602,2023,2
69675,2021,7
69675,2022,8
69675,2023,6
69675,2024,1
69675,2025,7
69712,2025,4
69817,2020,1
69817,2021,7
69817,2022,9
69817,2023,28
69817,2024,47
69817,2025,51
69817,2026,6
69858,2023,2
69858,2024,6
69858,2025,2
69998,2023,1
69998,2025,2
69998,2026,3
70194,2025,1
70216,2022,1
70806,2023,14
70806,2025,98
70806,2026,63
70833,2021,1
70884,2022,15
70884,2023,8
70884,2024,1
70884,2025,1
71069,2022,10
71069,2023,35
71069,2024,33
71069,2025,46
71069,2026,5
71331,2021,2
71331,2022,4
71331,2023,59
71331,2025,5
71351,2021,3
71351,2022,5
71351,2023,18
71351,2024,34
71351,2025,34
71351,2026,3
71436,2024,8
71436,2025,3
71492,2025,1
71556,2020,1
71556,2021,3
71556,2022,23
71556,2023,7
71556,2024,11
71556,2025,33
71556,2026,2
71644,2024,2
71644,2025,1
71901,2023,5
71901,2026,1
71985,2021,19
71985,2022,5
71985,2023,9
71985,2024,11
71985,2025,2
72189,2023,17
72189,2024,4
72189,2025,1
72567,2022,7
72567,2023,4
72567,2024,1
72930,2022,7
73172,2024,1
73305,2025,1
73345,2024,6
73389,2024,6
73447,2026,1
73658,2025,4
73658,2026,4
73719,2024,1
73800,2025,1
73800,2026,2
74101,2024,2
74101,2025,2
74739,2025,9
74758,2026,1
75222,2023,1
75726,2023,1
75741,2024,1
75741,2025,161
75741,2026,15
75884,2020,19
75884,2021,74
75884,2022,101
75884,2023,45
75884,2024,23
75884,2025,23
75884,2026,2
75987,2025,1
76169,2023,2
76169,2024,1
76196,2024,1
76222,2023,1
76286,2025,1
76286,2026,1
76605,2024,3
76605,2025,3
77029,2025,6
77051,2020,1
77051,2024,1
77051,2025,6
77199,2022,1
77199,2025,1
77199,2026,2
77397,2025,1
77397,2026,2
77457,2021,1
77457,2022,1
77457,2023,2
77457,2024,2
77457,2025,1
77463,2024,1
77463,2025,7
77657,2026,1
77972,2024,7
77972,2025,21
77972,2026,3
78071,2024,6
78177,2022,26
78177,2023,4
78177,2024,25
78177,2025,19
78177,2026,7
78560,2023,1
78736,2024,1
78744,2021,4
78744,2022,4
78744,2023,4
78744,2024,18
78744,2025,15
78744,2026,2
78771,2022,3
78771,2023,4
78771,2024,1
78771,2025,11
78771,2026,1
79045,2021,12
79045,2022,16
79045,2023,12
79045,2024,7
79045,2025,28
79045,2026,3
80159,2021,1
80282,2023,5
80282,2024,2
80282,2025,8
80282,2026,4
80386,2024,3
80675,2021,11
80675,2022,6
80675,2023,13
80675,2024,19
80675,2025,19
80675,2026,2
80760,2025,1
81024,2022,4
81024,2023,11
81024,2024,16
81024,2025,8
81024,2026,1
81315,2023,2
81315,2025,1
81479,2021,10
81479,2022,59
81479,2023,184
81479,2024,172
81479,2025,34
81741,2025,1
81741,2026,1
81844,2022,4
81844,2024,4
81844,2025,8
81895,2020,1
81895,2021,26
81895,2022,17
81895,2023,19
81895,2024,41
81895,2025,37
81895,2026,5
82028,2025,1
82028,2026,1
82461,2024,8
82773,2023,7
82800,2024,8
82800,2025,26
82800,2026,13
82877,2024,1
82953,2023,1
82974,2025,6
83064,2024,6
83170,2024,1
83170,2025,1
83200,2026,1
83222,2023,2
83222,2025,22
83222,2026,11
83400,2021,7
83400,2022,34
83400,2023,21
83400,2024,24
83400,2025,9
83400,2026,2
83458,2025,1
83467,2023,1
83505,2023,2
83505,2024,2
83505,2025,1
83546,2025,8
83747,2024,1
83747,2025,9
83790,2020,1
83790,2021,10
83790,2022,13
83790,2023,6
84088,2022,3
84118,2022,1
84118,2023,1
84181,2024,1
84181,2025,8
84181,2026,4
84278,2022,1
84351,2022,3
84351,2024,2
84591,2021,2
84793,2026,3
84875,2022,2
84875,2023,2
84875,2024,1
84875,2025,1
84911,2023,3
85026,2021,1
85103,2022,1
85103,2023,28
85103,2024,13
85103,2025,67
85103,2026,1
85207,2023,1
85207,2025,1
85207,2026,1
85296,2025,1
85590,2023,2
85901,2020,1
85901,2021,3
85901,2022,1
86002,2024,1
86002,2025,1
86016,2026,1
86061,2022,2
86069,2023,1
86741,2024,1
86953,2025,1
87465,2021,1
87553,2024,3
87553,2025,4
87934,2025,2
87991,2022,2
87991,2023,6
87991,2026,1
88022,2025,2
88204,2022,1
88204,2023,1
88270,2022,4
88270,2023,15
88270,2024,22
88270,2025,3
88270,2026,1
88430,2022,1
88430,2023,1
88430,2024,2
88430,2025,2
88683,2025,1
88704,2022,2
88757,2024,1
88757,2025,2
88790,2022,1
88790,2024,1
88882,2022,1
88907,2024,2
89119,2022,38
89119,2023,166
89119,2024,193
89119,2025,335
89119,2026,50
89353,2023,1
89677,2021,1
89723,2025,1
89888,2023,2
90300,2022,4
90300,2023,22
90300,2024,11
90300,2025,1
90329,2024,1
90329,2025,2
90329,2026,1
90575,2024,1
90587,2025,11
90620,2021,1
90620,2022,2
90620,2023,1
90620,2024,2
90700,2021,1
90773,2021,1
90893,2019,1
90893,2020,4
90893,2021,5
90893,2022,8
90893,2023,7
90893,2024,7
90893,2025,5
90893,2026,2
90960,2023,1
92520,2023,1
92704,2022,1
92704,2023,14
92704,2024,33
92704,2025,26
92704,2026,2
92804,2021,2
92804,2025,2
92840,2023,3
92840,2024,56
92840,2025,46
92840,2026,9
93197,2022,2
93620,2022,7
93620,2023,3
93759,2026,1
93857,2020,1
93857,2021,1
93857,2023,2
93857,2024,1
93857,2025,1
94099,2023,5
94099,2026,1
95023,2024,10
95023,2025,11
95026,2023,3
95026,2024,13
95026,2025,7
95063,2025,5
95063,2026,1
95369,2025,1
95872,2022,1
95872,2023,1
95959,2021,1
95959,2025,13
95959,2026,3
96192,2022,2
96192,2024,2
96192,2025,1
96284,2022,1
96284,2023,2
96284,2025,6
96675,2021,3
96675,2022,4
96675,2023,13
96675,2024,5
96675,2025,4
96784,2025,7
96784,2026,2
96832,2025,5
96929,2020,1
96929,2022,1
96929,2023,3
96929,2025,2
97394,2023,1
97840,2021,16
97840,2022,5
97840,2023,5
97840,2024,4
97840,2025,2
97840,2026,3
97898,2023,1
97898,2024,8
97898,2025,4
97904,2023,1
97906,2022,1
97982,2024,2
97982,2025,17
98384,2024,6
98384,2025,24
98384,2026,5
98643,2023,3
98643,2024,4
98643,2025,2
98796,2022,1
98796,2023,1
98796,2025,2
98902,2023,5
98902,2025,1
98902,2026,1
99195,2022,24
99195,2023,42
99326,2023,2
99381,2021,4
99381,2022,4
99381,2024,1
99381,2025,2
99535,2025,1
100005,2024,2
100012,2025,1
100102,2022,1
100102,2025,1
100370,2021,1
100846,2020,1
100846,2021,5
100846,2022,3
100846,2023,11
100846,2025,2
101093,2023,2
101433,2022,9
101433,2023,23
101433,2024,21
101433,2025,60
101433,2026,3
101531,2024,2
101694,2023,1
101694,2024,2
101694,2025,10
101694,2026,5
101761,2024,5
101761,2025,5
101944,2025,1
102234,2023,1
102394,2023,1
102533,2021,2
102533,2022,1
102618,2023,1
102618,2024,1
102762,2022,3
102943,2024,1
102966,2025,2
103022,2023,1
103022,2025,1
103243,2022,3
103243,2023,55
103243,2024,4
103243,2025,159
103379,2025,4
103684,2023,1
103684,2024,5
103684,2025,3
103684,2026,2
103941,2022,1
104029,2024,1
104029,2025,13
104136,2025,6
104437,2025,5
104797,2023,1
104885,2025,1
105508,2023,1
105508,2025,2
105524,2022,1
105564,2023,2
105571,2021,1
105571,2024,1
105731,2024,21
105731,2025,91
105731,2026,15
105805,2022,1
105805,2023,5
105805,2024,1
105900,2022,1
105920,2025,1
105920,2026,2
106098,2022,3
106098,2023,4
106098,2025,4
106098,2026,2
106303,2024,1
106796,2024,1
106963,2022,1
107198,2022,1
107198,2023,1
107362,2020,1
107658,2021,1
108021,2021,2
108021,2022,3
108021,2023,7
108021,2024,8
108021,2025,6
108147,2021,16
108147,2022,5
108147,2023,11
108147,2024,16
108147,2025,7
108147,2026,4
108534,2024,3
108534,2025,6
108534,2026,1
108537,2021,1
108537,2022,3
108537,2023,1
108537,2024,2
108537,2025,3
108537,2026,2
108721,2024,1
108875,2025,1
108932,2023,13
108932,2024,42
108979,2022,1
109319,2022,1
109401,2022,3
109404,2024,13
109404,2025,43
109404,2026,16
109642,2021,1
109642,2023,5
109642,2024,2
109642,2025,5
110042,2022,4
110042,2023,7
110208,2025,1
110300,2023,5
110300,2024,5
110300,2025,2
110341,2022,1
110490,2021,2
110490,2022,2
110490,2025,1
110574,2021,1
110574,2022,1
110655,2021,6
110655,2022,9
110655,2023,2
110655,2024,3
110655,2025,3
110655,2026,4
110920,2026,1
111233,2023,1
111368,2025,1
111394,2022,2
111394,2023,21
111394,2024,89
111394,2025,193
111394,2026,47
111426,2024,38
111426,2025,5
111605,2022,9
111611,2023,1
112221,2024,4
112221,2026,1
112329,2017,1
112329,2023,1
112329,2024,1
112421,2025,6
112884,2024,1
113647,2025,1
113744,2024,2
113744,2025,10
113773,2021,1
114341,2022,3
114341,2023,7
114341,2024,3
114341,2025,1
114341,2026,1
114533,2021,14
114533,2022,7
114533,2024,16
114533,2025,4
114861,2020,2
114861,2021,80
114861,2022,128
114861,2023,120
114861,2024,142
114861,2025,124
114861,2026,22
115042,2023,4
115073,2021,2
115073,2025,9
115073,2026,1
115166,2023,10
115166,2024,11
115166,2025,25
115166,2026,7
115339,2023,1
115339,2024,1
115339,2026,2
115472,2025,1
116310,2021,1
116310,2022,11
116310,2024,2
116310,2025,4
116567,2025,1
116712,2022,3
116712,2023,1
116771,2024,3
116771,2025,7
116771,2026,4
116780,2025,29
116825,2025,3
116825,2026,4
116933,2021,1
116933,2022,2
116933,2023,5
116933,2024,8
116933,2025,2
116933,2026,3
116951,2023,11
116951,2024,6
116951,2025,14
116951,2026,1
116962,2022,6
117031,2022,12
117031,2023,14
117031,2024,15
117031,2025,7
117031,2026,2
117357,2020,1
117357,2021,12
117357,2022,4
117458,2024,13
117477,2024,1
117477,2025,6
117477,2026,1
117721,2022,1
117721,2023,9
117721,2024,2
117769,2025,6
117859,2021,1
117859,2022,1
117901,2022,2
117901,2023,100
117901,2025,9
118009,2022,1
118055,2025,1
118119,2025,5
118338,2024,10
118338,2025,8
118338,2026,3
118403,2020,4
118403,2022,2
118655,2022,3
118655,2023,32
118655,2024,1
118750,2022,2
118750,2023,10
118750,2024,9
